Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Study_Efficiency,Score_Improvement,Performance_Category
1,Male,21,7,6,79,9,77,No,Low,96.5,13.785714285714286,19.5,High
2,Female,18,6,4,62,1,84,Yes,Medium,91.2,15.200000000000001,7.200000000000003,High
3,Male,20,6,4,96,8,90,Yes,Medium,93.8,15.633333333333333,3.799999999999997,High
4,Male,18,5,4,99,5,73,Yes,High,84.9,16.98,11.900000000000006,Medium
5,Male,21,6,5,67,8,83,Yes,Medium,73.3,12.216666666666667,-9.700000000000003,Medium
6,Female,21,9,5,99,5,54,Yes,High,95.3,10.588888888888889,41.3,High
7,Male,17,9,7,82,5,53,Yes,Low,88.8,9.866666666666667,35.8,High
8,Male,21,8,7,99,1,45,Yes,Medium,79.7,9.9625,34.7,Medium
9,Male,17,9,7,70,7,89,No,Low,109.6,12.177777777777777,20.599999999999994,High
10,Female,20,8,5,67,2,76,Yes,Low,88.5,11.0625,12.5,High
11,Male,18,8,5,88,6,89,No,Low,101.0,12.625,12.0,High
12,Male,18,1,7,89,4,71,No,Low,68.1,68.1,-2.9000000000000057,Medium
13,Male,17,5,7,69,2,42,No,Medium,67.5,13.5,25.5,Medium
14,Male,18,4,8,98,0,42,No,Low,73.2,18.3,31.200000000000003,Medium
15,Female,21,2,7,87,7,61,Yes,High,63.5,31.75,2.5,Medium
16,Male,19,8,8,95,2,61,No,Medium,84.9,10.6125,23.900000000000006,Medium
17,Female,17,3,6,72,1,49,No,Low,47.2,15.733333333333334,-1.7999999999999972,Low
18,Female,18,4,5,91,0,90,No,Medium,73.3,18.325,-16.700000000000003,Medium
19,Female,17,7,7,95,3,42,No,High,87.3,12.471428571428572,45.3,High
20,Male,17,9,5,96,7,51,No,Low,92.2,10.244444444444445,41.2,High
21,Female,19,2,5,85,2,68,Yes,High,64.7,32.35,-3.299999999999997,Medium
22,Male,21,3,5,81,0,87,Yes,Low,65.1,21.7,-21.900000000000006,Medium
23,Female,17,4,6,63,3,56,No,High,57.3,14.325,1.2999999999999972,Low
24,Female,18,1,4,90,8,46,Yes,Low,55.4,55.4,9.399999999999999,Low
25,Female,20,7,7,77,0,52,Yes,Medium,86.9,12.414285714285715,34.900000000000006,High
26,Female,17,2,4,97,1,41,No,Low,59.5,29.75,18.5,Low
