Student_ID,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Actual,Predicted
45,19,5,6,90,8,43,Average,Good
241,20,5,7,77,6,86,Good,Excellent
171,19,6,4,68,2,81,Excellent,Good
766,18,1,7,91,3,82,Good,Average
839,18,3,5,81,9,94,Excellent,Good
424,17,7,8,75,5,61,Good,Excellent
363,19,7,5,85,6,65,Good,Excellent
653,19,4,6,70,2,83,Excellent,Good
108,19,6,4,81,8,65,Excellent,Good
1109,21,2,5,65,7,88,Good,Average
1136,18,3,4,71,2,77,Good,Average
164,18,3,8,80,8,92,Excellent,Good
378,21,2,4,65,9,80,Good,Average
156,21,3,4,89,1,61,Good,Average
211,21,3,6,94,3,54,Average,Good
169,17,2,8,78,2,49,Fail,Average
79,21,3,4,98,8,82,Excellent,Good
431,18,4,8,62,9,49,Average,Good
185,20,5,4,74,0,52,Average,Good
943,19,7,6,86,3,41,Excellent,Good
851,20,2,6,79,5,50,Fail,Average
175,17,6,4,89,4,62,Excellent,Good
1023,18,5,5,98,4,85,Good,Excellent
514,17,3,4,69,8,57,Fail,Average
671,21,3,7,61,1,81,Good,Average
882,17,1,4,83,9,80,Good,Average
937,20,3,8,68,6,60,Fail,Average
372,19,7,8,67,8,68,Good,Excellent
992,19,5,6,68,3,51,Average,Good
622,21,8,7,78,2,47,Good,Excellent
1038,19,5,8,88,9,75,Excellent,Good
245,17,5,5,67,5,74,Good,Excellent
1187,21,7,8,68,1,69,Good,Excellent
695,21,2,6,71,1,75,Good,Average
631,19,3,8,61,5,48,Fail,Average
1148,19,1,5,75,0,86,Good,Average
234,17,6,4,76,0,70,Excellent,Good
1048,18,3,4,97,3,57,Good,Average
472,18,1,4,76,6,72,Fail,Average
1098,19,4,7,68,2,64,Good,Average
627,20,3,6,90,2,93,Excellent,Good
395,17,9,7,72,4,45,Good,Excellent
533,18,8,8,71,3,70,Good,Excellent
434,18,3,8,74,1,67,Average,Good
329,19,3,8,89,9,68,Average,Good
928,17,4,8,93,9,78,Good,Excellent
1025,17,5,7,91,8,63,Excellent,Good
813,19,5,8,62,1,62,Average,Good
320,18,8,5,64,6,47,Good,Excellent
89,21,3,8,72,4,44,Average,Fail
209,21,5,4,96,4,73,Good,Excellent
1040,18,1,5,78,8,44,Average,Fail
998,20,2,7,61,3,52,Fail,Average
430,21,4,4,90,4,63,Excellent,Average
694,19,6,4,61,9,88,Excellent,Good
463,20,3,5,99,6,89,Excellent,Good
199,18,2,7,92,8,66,Average,Good
886,18,1,4,63,4,88,Good,Average
712,18,2,5,90,5,82,Average,Good
1113,21,3,7,89,4,74,Excellent,Good
899,19,7,4,92,5,42,Good,Excellent
266,20,3,6,78,6,49,Good,Average
632,18,6,5,69,1,81,Good,Excellent
248,17,2,8,63,4,78,Good,Average
683,19,9,8,72,1,42,Good,Excellent
559,19,2,7,96,0,51,Good,Average
295,20,7,5,92,0,42,Good,Excellent
84,20,2,6,72,2,94,Good,Average
130,18,2,4,72,7,55,Fail,Average
868,18,1,8,60,4,63,Average,Fail
