Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Total_Score,Study_Efficiency
1,Male,21,7,6,79,9,77,No,Low,96.5,173.5,13.785714285714286
2,Female,18,6,4,62,1,84,Yes,Medium,91.2,175.2,15.200000000000001
3,Male,20,6,4,96,8,90,Yes,Medium,93.8,183.8,15.633333333333333
4,Male,18,5,4,99,5,73,Yes,High,84.9,157.9,16.98
5,Male,21,6,5,67,8,83,Yes,Medium,73.3,156.3,12.216666666666667
6,Female,21,9,5,99,5,54,Yes,High,95.3,149.3,10.588888888888889
7,Male,17,9,7,82,5,53,Yes,Low,88.8,141.8,9.866666666666667
8,Male,21,8,7,99,1,45,Yes,Medium,79.7,124.7,9.9625
9,Male,17,9,7,70,7,89,No,Low,109.6,198.6,12.177777777777777
10,Female,20,8,5,67,2,76,Yes,Low,88.5,164.5,11.0625
11,Male,18,8,5,88,6,89,No,Low,101.0,190.0,12.625
12,Male,18,1,7,89,4,71,No,Low,68.1,139.1,68.1
13,Male,17,5,7,69,2,42,No,Medium,67.5,109.5,13.5
14,Male,18,4,8,98,0,42,No,Low,73.2,115.2,18.3
15,Female,21,2,7,87,7,61,Yes,High,63.5,124.5,31.75
16,Male,19,8,8,95,2,61,No,Medium,84.9,145.9,10.6125
17,Female,17,3,6,72,1,49,No,Low,47.2,96.2,15.733333333333334
18,Female,18,4,5,91,0,90,No,Medium,73.3,163.3,18.325
19,Female,17,7,7,95,3,42,No,High,87.3,129.3,12.471428571428572
20,Male,17,9,5,96,7,51,No,Low,92.2,143.2,10.244444444444445
21,Female,19,2,5,85,2,68,Yes,High,64.7,132.7,32.35
22,Male,21,3,5,81,0,87,Yes,Low,65.1,152.1,21.7
23,Female,17,4,6,63,3,56,No,High,57.3,113.3,14.325
24,Female,18,1,4,90,8,46,Yes,Low,55.4,101.4,55.4
25,Female,20,7,7,77,0,52,Yes,Medium,86.9,138.9,12.414285714285715
26,Female,17,2,4,97,1,41,No,Low,59.5,100.5,29.75
27,Female,17,5,4,83,8,43,No,Medium,67.1,110.1,13.419999999999998
28,Female,19,1,4,82,1,49,No,Low,39.2,88.2,39.2
29,Female,21,3,5,81,2,78,Yes,Low,66.5,144.5,22.166666666666668
30,Female,20,2,8,61,6,63,No,High,62.5,125.5,31.25
31,Male,18,1,5,90,2,56,Yes,High,51.4,107.4,51.4
32,Male,20,7,5,70,8,91,Yes,High,91.4,182.4,13.057142857142859
33,Female,18,5,4,87,5,45,Yes,Low,63.1,108.1,12.620000000000001
34,Female,21,1,5,91,2,58,No,Low,53.5,111.5,53.5
35,Female,18,6,4,64,8,44,Yes,Low,56.8,100.8,9.466666666666667
36,Male,19,5,8,97,0,71,No,Medium,73.5,144.5,14.7
37,Female,19,3,7,69,9,49,No,Medium,63.3,112.3,21.099999999999998
38,Male,19,7,4,99,2,48,No,Low,86.9,134.9,12.414285714285715
39,Male,19,9,8,83,0,66,No,High,105.3,171.3,11.7
40,Male,20,9,7,94,1,52,No,High,93.0,145.0,10.333333333333334
