Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Study_Efficiency,Score_Improvement,Performance_Category
1,1,21,0.793040018484801,6,-0.06166513345162517,9,0.6315656893786202,No,Low,1.351623619396998,-0.5047197246566836,0.6701230162655842,2
2,0,18,0.40109272763564074,4,-1.5700209157216083,1,1.0712434442916325,Yes,Medium,1.0153199161528272,-0.4007502279899602,-0.06280541162581571,2
3,1,20,0.40109272763564074,4,1.446690648818358,8,1.4481100913599287,Yes,Medium,1.1802990913292126,-0.36889425426379235,-0.26540351364457704,2
4,1,18,0.009145436786480443,4,1.7128710809836492,5,0.3803212579997561,Yes,High,0.6155626839946621,-0.26989568976093237,0.21725667057658937,1
5,1,21,0.40109272763564074,5,-1.1263868621127897,8,1.0084323364469165,Yes,Medium,-0.12049825140767471,-0.6200663547970383,-1.069837154013187,1
6,0,21,1.5769346001831217,5,1.7128710809836492,5,-0.8130897910498488,Yes,High,1.2754793847002044,-0.7397304612299509,1.969134376268228,2
7,1,17,1.5769346001831217,7,0.20451529871366597,5,-0.8759008988945648,Yes,Low,0.86303144675924,-0.7928237507735638,1.64140215241435,2
8,1,21,1.1849873093339613,7,1.7128710809836492,1,-1.378389761652293,Yes,Medium,0.2856043336418905,-0.785778679661046,1.5758557076435749,1
9,1,17,1.5769346001831217,7,-0.8602064299474986,7,1.3852989835152127,No,Low,2.1828648481703254,-0.6229252242340024,0.7356694610363594,2
10,0,20,1.1849873093339613,5,-1.1263868621127897,2,0.5687545815339042,Yes,Low,0.8439953880850419,-0.7049135155869277,0.2530092768151939,2
11,1,18,1.1849873093339613,5,0.7368761630442482,6,1.3852989835152127,No,Low,1.6371644995099732,-0.5900482257089188,0.22321543828302318,2
12,1,18,-1.5586437266101607,7,0.825602973766012,4,0.254699042310324,No,Low,-0.4504566017604463,3.4881290261199087,-0.664640949975665,1
13,1,17,0.009145436786480443,7,-0.9489332406692623,2,-1.5668230851864413,No,Medium,-0.48852871910884266,-0.5257236633772338,1.027649078651633,1
14,1,18,-0.38280185406267986,8,1.6241442702618853,0,-1.5668230851864413,No,Low,-0.1268436042990738,-0.1728574928719904,1.3672988379183797,1
15,0,21,-1.1666964357610003,7,0.6481493523224845,7,-0.37341203613683643,Yes,High,-0.7423428347648207,0.8159029223979102,-0.3428674938282208,1
16,1,19,1.1849873093339613,8,1.3579638380965942,2,-0.37341203613683643,No,Medium,0.6155626839946621,-0.7379947190717941,0.9323087953486872,1
17,0,17,-0.7747491449118401,6,-0.6827528085039711,1,-1.127145330273429,No,Low,-1.7766353560629309,-0.36154287571159965,-0.5990945052048889,0
18,0,18,-0.38280185406267986,5,1.0030565952095394,0,1.4481100913599287,No,Medium,-0.12049825140767471,-0.17101964823394236,-1.4869508934635771,1
19,0,17,0.793040018484801,7,1.3579638380965942,3,-1.5668230851864413,No,High,0.7678511533882483,-0.6013378427712145,2.207485084525594,2
20,1,17,1.5769346001831217,5,1.446690648818358,7,-1.001523114583997,No,Low,1.0787734450668218,-0.7650518762430586,1.9631756085617944,2
21,0,19,-1.1666964357610003,5,0.4706957308789571,2,0.06626571877617586,Yes,High,-0.6661986000680271,0.8600111937110657,-0.6884760208014011,1
22,1,21,-0.7747491449118401,5,0.11578848799190225,0,1.2596767678257808,Yes,Low,-0.6408171885024297,0.07708937790255685,-1.7968068141981532,1
23,0,17,-0.38280185406267986,6,-1.4812941049998445,3,-0.6874675753604167,No,High,-1.1357547140315867,-0.46507479032164517,-0.4143727063054307,0
24,0,18,-1.5586437266101607,4,0.9143297844877757,8,-1.315578653807577,Yes,Low,-1.2563164189681761,2.554503949991453,0.06828747791573538,0
