Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score
1,Male,21,7,6,79,9,77,No,Low,96.5
2,Female,18,6,4,62,1,84,Yes,Medium,91.2
3,Male,20,6,4,96,8,90,Yes,Medium,93.8
4,Male,18,5,4,99,5,73,Yes,High,84.9
5,Male,21,6,5,67,8,83,Yes,Medium,73.3
6,Female,21,9,5,99,5,54,Yes,High,95.3
7,Male,17,9,7,82,5,53,Yes,Low,88.8
8,Male,21,8,7,99,1,45,Yes,Medium,79.7
9,Male,17,9,7,70,7,89,No,Low,109.6
10,Female,20,8,5,67,2,76,Yes,Low,88.5
11,Male,18,8,5,88,6,89,No,Low,101.0
12,Male,18,1,7,89,4,71,No,Low,68.1
13,Male,17,5,7,69,2,42,No,Medium,67.5
14,Male,18,4,8,98,0,42,No,Low,73.2
15,Female,21,2,7,87,7,61,Yes,High,63.5
16,Male,19,8,8,95,2,61,No,Medium,84.9
17,Female,17,3,6,72,1,49,No,Low,47.2
18,Female,18,4,5,91,0,90,No,Medium,73.3
19,Female,17,7,7,95,3,42,No,High,87.3
20,Male,17,9,5,96,7,51,No,Low,92.2
21,Female,19,2,5,85,2,68,Yes,High,64.7
22,Male,21,3,5,81,0,87,Yes,Low,65.1
23,Female,17,4,6,63,3,56,No,High,57.3
24,Female,18,1,4,90,8,46,Yes,Low,55.4
25,Female,20,7,7,77,0,52,Yes,Medium,86.9
26,Female,17,2,4,97,1,41,No,Low,59.5
27,Female,17,5,4,83,8,43,No,Medium,67.1
28,Female,19,1,4,82,1,49,No,Low,39.2
29,Female,21,3,5,81,2,78,Yes,Low,66.5
30,Female,20,2,8,61,6,63,No,High,62.5
31,Male,18,1,5,90,2,56,Yes,High,51.4
32,Male,20,7,5,70,8,91,Yes,High,91.4
33,Female,18,5,4,87,5,45,Yes,Low,63.1
34,Female,21,1,5,91,2,58,No,Low,53.5
35,Female,18,6,4,64,8,44,Yes,Low,56.8
36,Male,19,5,8,97,0,71,No,Medium,73.5
37,Female,19,3,7,69,9,49,No,Medium,63.3
38,Male,19,7,4,99,2,48,No,Low,86.9
39,Male,19,9,8,83,0,66,No,High,105.3
40,Male,20,9,7,94,1,52,No,High,93.0
41,Male,21,9,6,82,7,58,Yes,High,90.8
42,Male,18,2,4,76,6,60,Yes,Low,55.8
43,Female,18,3,4,60,1,63,Yes,High,53.2
44,Female,19,7,6,90,1,77,Yes,Low,98.8
45,Female,19,5,6,90,8,43,Yes,Medium,64.2
46,Female,17,2,4,93,5,63,No,High,56.1
47,Female,21,3,6,68,4,74,No,Medium,74.0
48,Male,20,6,5,81,9,42,Yes,High,63.1
49,Female,18,7,7,72,5,43,Yes,Low,81.8
50,Female,17,9,7,84,8,76,Yes,Low,107.6
51,Male,17,1,7,77,6,79,No,Low,52.7
52,Female,18,7,5,71,9,87,No,Low,88.1
53,Male,20,8,6,99,9,93,No,High,112.9
54,Female,17,3,8,76,8,74,Yes,Medium,61.4
55,Male,17,4,6,74,3,70,Yes,Low,72.2
56,Female,21,6,4,74,1,83,Yes,High,75.4
57,Female,20,7,7,74,7,64,Yes,Medium,84.8
58,Male,17,4,6,98,3,79,No,Low,74.0
59,Male,20,8,8,72,8,52,Yes,Medium,85.4
60,Male,18,5,4,76,3,43,Yes,Low,57.0
61,Male,19,1,5,91,7,85,Yes,Medium,60.3
62,Male,17,4,5,68,8,53,No,Medium,57.6
63,Male,21,3,8,99,8,52,No,Low,55.5
64,Male,18,9,4,79,9,66,Yes,High,96.1
65,Male,20,8,7,85,3,45,No,Medium,83.5
66,Female,18,1,6,86,0,56,No,Low,50.2
67,Female,17,6,4,80,2,75,No,Medium,79.0
68,Male,20,9,5,77,8,79,No,Medium,90.7
69,Female,19,7,8,72,3,88,No,High,99.8
70,Female,18,4,8,75,4,74,Yes,Medium,81.1
71,Female,17,1,6,68,6,56,Yes,Medium,56.8
72,Female,21,2,8,71,4,80,Yes,Low,66.3
73,Male,20,5,8,97,3,41,No,Low,60.5
74,Female,18,5,4,78,1,52,No,High,68.2
75,Male,18,8,7,66,1,91,No,Medium,101.2
76,Female,19,6,6,94,3,41,No,Medium,67.6
77,Female,19,8,4,77,9,91,Yes,Medium,99.5
78,Female,21,2,7,75,9,67,Yes,High,64.3
79,Male,21,3,4,98,8,82,Yes,Medium,86.2
80,Female,17,6,4,63,7,65,Yes,Low,64.9
81,Male,17,3,8,84,2,61,Yes,High,69.6
82,Female,21,6,7,91,8,86,Yes,Low,99.7
83,Male,21,6,6,99,4,82,No,Low,90.5
84,Female,20,2,6,72,2,94,No,High,67.2
85,Male,19,7,7,76,4,42,Yes,Low,72.6
86,Male,17,2,8,96,9,74,No,Medium,74.4
87,Female,19,6,5,65,3,51,Yes,High,70.9
88,Male,19,1,4,78,7,63,Yes,Low,55.6
89,Female,21,3,8,72,4,44,No,Medium,51.2
90,Female,20,2,7,85,9,59,Yes,Medium,64.1
91,Female,18,7,4,73,7,78,Yes,Low,95.1
92,Female,20,4,6,90,8,78,Yes,Medium,68.2
