Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Study_Efficiency,Score_Improvement,Performance_Category
1,1,21,7,6,79,9,77,No,Low,96.5,13.785714285714286,19.5,2
2,0,18,6,4,62,1,84,Yes,Medium,91.2,15.2,7.200000000000003,2
3,1,20,6,4,96,8,90,Yes,Medium,93.8,15.633333333333333,3.799999999999997,2
4,1,18,5,4,99,5,73,Yes,High,84.9,16.98,11.900000000000006,1
5,1,21,6,5,67,8,83,Yes,Medium,73.3,12.216666666666669,-9.700000000000005,1
6,0,21,9,5,99,5,54,Yes,High,95.3,10.588888888888889,41.3,2
7,1,17,9,7,82,5,53,Yes,Low,88.8,9.866666666666667,35.8,2
8,1,21,8,7,99,1,45,Yes,Medium,79.7,9.9625,34.7,1
9,1,17,9,7,70,7,89,No,Low,109.6,12.177777777777775,20.599999999999994,2
10,0,20,8,5,67,2,76,Yes,Low,88.5,11.0625,12.5,2
11,1,18,8,5,88,6,89,No,Low,101.0,12.625,12.0,2
12,1,18,1,7,89,4,71,No,Low,68.1,68.1,-2.9000000000000057,1
13,1,17,5,7,69,2,42,No,Medium,67.5,13.5,25.5,1
14,1,18,4,8,98,0,42,No,Low,73.2,18.3,31.200000000000003,1
15,0,21,2,7,87,7,61,Yes,High,63.5,31.75,2.5,1
16,1,19,8,8,95,2,61,No,Medium,84.9,10.6125,23.90000000000001,1
17,0,17,3,6,72,1,49,No,Low,47.2,15.733333333333334,-1.7999999999999972,0
18,0,18,4,5,91,0,90,No,Medium,73.3,18.325,-16.700000000000003,1
19,0,17,7,7,95,3,42,No,High,87.3,12.471428571428572,45.3,2
20,1,17,9,5,96,7,51,No,Low,92.2,10.244444444444444,41.2,2
21,0,19,2,5,85,2,68,Yes,High,64.7,32.35,-3.299999999999997,1
22,1,21,3,5,81,0,87,Yes,Low,65.1,21.7,-21.90000000000001,1
23,0,17,4,6,63,3,56,No,High,57.3,14.325,1.2999999999999972,0
24,0,18,1,4,90,8,46,Yes,Low,55.4,55.4,9.4,0
25,0,20,7,7,77,0,52,Yes,Medium,86.9,12.414285714285716,34.900000000000006,2
26,0,17,2,4,97,1,41,No,Low,59.5,29.75,18.5,0
27,0,17,5,4,83,8,43,No,Medium,67.1,13.419999999999998,24.099999999999994,1
28,0,19,1,4,82,1,49,No,Low,39.2,39.2,-9.799999999999995,0
29,0,21,3,5,81,2,78,Yes,Low,66.5,22.166666666666668,-11.5,1
30,0,20,2,8,61,6,63,No,High,62.5,31.25,-0.5,1
31,1,18,1,5,90,2,56,Yes,High,51.4,51.4,-4.600000000000001,0
