Student_ID,Gender,Age,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Assignments_Completed,Previous_Exam_Score,Internet_Access,Family_Income_Level,Final_Exam_Score,Performance
1,Male,21,7,6,79,9,77,No,Low,96.5,Excellent
2,Female,18,6,4,62,1,84,Yes,Medium,91.2,Excellent
3,Male,20,6,4,96,8,90,Yes,Medium,93.8,Excellent
4,Male,18,5,4,99,5,73,Yes,High,84.9,Excellent
5,Male,21,6,5,67,8,83,Yes,Medium,73.3,Good
6,Female,21,9,5,99,5,54,Yes,High,95.3,Excellent
7,Male,17,9,7,82,5,53,Yes,Low,88.8,Excellent
8,Male,21,8,7,99,1,45,Yes,Medium,79.7,Good
9,Male,17,9,7,70,7,89,No,Low,109.6,Excellent
10,Female,20,8,5,67,2,76,Yes,Low,88.5,Excellent
11,Male,18,8,5,88,6,89,No,Low,101.0,Excellent
12,Male,18,1,7,89,4,71,No,Low,68.1,Good
13,Male,17,5,7,69,2,42,No,Medium,67.5,Good
14,Male,18,4,8,98,0,42,No,Low,73.2,Good
15,Female,21,2,7,87,7,61,Yes,High,63.5,Average
16,Male,19,8,8,95,2,61,No,Medium,84.9,Excellent
17,Female,17,3,6,72,1,49,No,Low,47.2,Fail
18,Female,18,4,5,91,0,90,No,Medium,73.3,Good
19,Female,17,7,7,95,3,42,No,High,87.3,Excellent
20,Male,17,9,5,96,7,51,No,Low,92.2,Excellent
21,Female,19,2,5,85,2,68,Yes,High,64.7,Average
22,Male,21,3,5,81,0,87,Yes,Low,65.1,Good
23,Female,17,4,6,63,3,56,No,High,57.3,Average
24,Female,18,1,4,90,8,46,Yes,Low,55.4,Average
25,Female,20,7,7,77,0,52,Yes,Medium,86.9,Excellent
26,Female,17,2,4,97,1,41,No,Low,59.5,Average
27,Female,17,5,4,83,8,43,No,Medium,67.1,Good
28,Female,19,1,4,82,1,49,No,Low,39.2,Fail
29,Female,21,3,5,81,2,78,Yes,Low,66.5,Good
30,Female,20,2,8,61,6,63,No,High,62.5,Average
31,Male,18,1,5,90,2,56,Yes,High,51.4,Average
32,Male,20,7,5,70,8,91,Yes,High,91.4,Excellent
33,Female,18,5,4,87,5,45,Yes,Low,63.1,Average
34,Female,21,1,5,91,2,58,No,Low,53.5,Average
35,Female,18,6,4,64,8,44,Yes,Low,56.8,Average
36,Male,19,5,8,97,0,71,No,Medium,73.5,Good
37,Female,19,3,7,69,9,49,No,Medium,63.3,Average
38,Male,19,7,4,99,2,48,No,Low,86.9,Excellent
39,Male,19,9,8,83,0,66,No,High,105.3,Excellent
40,Male,20,9,7,94,1,52,No,High,93.0,Excellent
41,Male,21,9,6,82,7,58,Yes,High,90.8,Excellent
42,Male,18,2,4,76,6,60,Yes,Low,55.8,Average
43,Female,18,3,4,60,1,63,Yes,High,53.2,Average
44,Female,19,7,6,90,1,77,Yes,Low,98.8,Excellent
45,Female,19,5,6,90,8,43,Yes,Medium,64.2,Average
46,Female,17,2,4,93,5,63,No,High,56.1,Average
47,Female,21,3,6,68,4,74,No,Medium,74.0,Good
48,Male,20,6,5,81,9,42,Yes,High,63.1,Average
49,Female,18,7,7,72,5,43,Yes,Low,81.8,Excellent
50,Female,17,9,7,84,8,76,Yes,Low,107.6,Excellent
51,Male,17,1,7,77,6,79,No,Low,52.7,Average
52,Female,18,7,5,71,9,87,No,Low,88.1,Excellent
53,Male,20,8,6,99,9,93,No,High,112.9,Excellent
54,Female,17,3,8,76,8,74,Yes,Medium,61.4,Average
55,Male,17,4,6,74,3,70,Yes,Low,72.2,Good
56,Female,21,6,4,74,1,83,Yes,High,75.4,Good
57,Female,20,7,7,74,7,64,Yes,Medium,84.8,Excellent
58,Male,17,4,6,98,3,79,No,Low,74.0,Good
59,Male,20,8,8,72,8,52,Yes,Medium,85.4,Excellent
60,Male,18,5,4,76,3,43,Yes,Low,57.0,Average
61,Male,19,1,5,91,7,85,Yes,Medium,60.3,Average
62,Male,17,4,5,68,8,53,No,Medium,57.6,Average
63,Male,21,3,8,99,8,52,No,Low,55.5,Average
64,Male,18,9,4,79,9,66,Yes,High,96.1,Excellent
65,Male,20,8,7,85,3,45,No,Medium,83.5,Excellent
66,Female,18,1,6,86,0,56,No,Low,50.2,Average
67,Female,17,6,4,80,2,75,No,Medium,79.0,Good
68,Male,20,9,5,77,8,79,No,Medium,90.7,Excellent
69,Female,19,7,8,72,3,88,No,High,99.8,Excellent
70,Female,18,4,8,75,4,74,Yes,Medium,81.1,Excellent
71,Female,17,1,6,68,6,56,Yes,Medium,56.8,Average
72,Female,21,2,8,71,4,80,Yes,Low,66.3,Good
73,Male,20,5,8,97,3,41,No,Low,60.5,Average
74,Female,18,5,4,78,1,52,No,High,68.2,Good
75,Male,18,8,7,66,1,91,No,Medium,101.2,Excellent
76,Female,19,6,6,94,3,41,No,Medium,67.6,Good
77,Female,19,8,4,77,9,91,Yes,Medium,99.5,Excellent
78,Female,21,2,7,75,9,67,Yes,High,64.3,Average
79,Male,21,3,4,98,8,82,Yes,Medium,86.2,Excellent
80,Female,17,6,4,63,7,65,Yes,Low,64.9,Average
81,Male,17,3,8,84,2,61,Yes,High,69.6,Good
82,Female,21,6,7,91,8,86,Yes,Low,99.7,Excellent
83,Male,21,6,6,99,4,82,No,Low,90.5,Excellent
84,Female,20,2,6,72,2,94,No,High,67.2,Good
85,Male,19,7,7,76,4,42,Yes,Low,72.6,Good
86,Male,17,2,8,96,9,74,No,Medium,74.4,Good
87,Female,19,6,5,65,3,51,Yes,High,70.9,Good
88,Male,19,1,4,78,7,63,Yes,Low,55.6,Average
89,Female,21,3,8,72,4,44,No,Medium,51.2,Average
90,Female,20,2,7,85,9,59,Yes,Medium,64.1,Average
91,Female,18,7,4,73,7,78,Yes,Low,95.1,Excellent
92,Female,20,4,6,90,8,78,Yes,Medium,68.2,Good
93,Female,20,8,5,63,3,52,No,High,69.7,Good
94,Female,19,6,6,98,6,80,No,Low,92.4,Excellent
95,Female,20,4,7,67,1,92,No,Medium,71.9,Good
96,Female,17,5,4,84,5,84,No,Medium,81.8,Excellent
97,Female,19,9,7,72,7,51,Yes,Low,81.0,Excellent
98,Female,17,7,4,91,6,52,No,Low,88.1,Excellent
99,Female,18,9,8,97,6,49,No,Low,100.7,Excellent
100,Male,19,7,5,97,7,72,No,Low,98.9,Excellent
101,Male,18,1,8,87,6,79,Yes,High,69.7,Good
102,Female,19,8,8,89,4,93,No,Low,93.9,Excellent
103,Female,21,4,7,62,6,55,No,High,68.6,Good
104,Female,20,3,5,87,9,84,Yes,High,71.7,Good
105,Female,21,7,4,62,2,74,Yes,Low,75.2,Good
106,Female,18,3,4,93,4,42,Yes,High,53.7,Average
107,Female,20,8,6,75,6,44,Yes,Low,77.1,Good
108,Female,19,6,4,81,8,65,No,Low,88.3,Excellent
109,Female,20,5,7,91,1,50,Yes,Medium,79.3,Good
110,Male,17,4,8,97,3,46,No,Low,74.5,Good
111,Female,20,8,8,67,6,92,No,Medium,86.9,Excellent
112,Male,17,8,8,67,0,49,No,High,83.7,Excellent
113,Female,20,1,5,65,1,81,No,Medium,63.9,Average
114,Female,17,9,4,73,8,91,No,High,99.3,Excellent
115,Male,18,5,7,91,9,73,Yes,Low,86.5,Excellent
116,Female,21,4,5,94,6,42,No,High,70.0,Good
117,Male,19,6,6,69,9,47,No,High,73.5,Good
118,Female,20,6,7,62,6,70,No,Low,71.6,Good
119,Female,21,2,7,71,5,50,Yes,High,49.3,Fail
120,Male,19,8,7,90,2,84,No,Low,96.6,Excellent
121,Female,19,7,8,88,9,46,No,Medium,82.8,Excellent
122,Male,17,1,7,64,2,84,Yes,Low,57.8,Average
123,Female,18,5,4,84,1,41,No,Low,71.6,Good
124,Male,18,6,7,90,5,45,No,High,70.0,Good
125,Male,21,4,8,80,3,80,Yes,Medium,81.0,Excellent
126,Female,18,2,7,79,4,71,No,Low,71.1,Good
127,Female,20,4,6,98,2,59,No,Medium,78.0,Good
128,Male,18,1,6,81,5,73,No,Medium,59.5,Average
129,Female,21,7,8,63,2,89,No,High,95.5,Excellent
130,Female,18,2,4,72,7,55,No,Low,47.6,Fail
131,Female,20,2,4,79,8,64,Yes,High,61.3,Average
132,Male,17,9,5,72,3,51,Yes,Low,84.0,Excellent
133,Male,21,5,8,76,8,46,Yes,Medium,60.2,Average
134,Male,17,2,7,95,6,78,No,Low,70.7,Good
135,Male,17,9,8,92,2,56,No,Low,93.0,Excellent
136,Male,17,9,5,60,6,84,No,Medium,88.6,Excellent
137,Male,19,1,8,74,0,50,Yes,Medium,39.2,Fail
138,Male,19,3,8,72,2,45,No,Low,44.6,Fail
139,Male,17,4,5,76,5,62,No,High,74.6,Good
140,Male,21,7,4,83,3,66,No,Low,87.3,Excellent
141,Female,20,4,7,67,6,85,Yes,Medium,72.1,Good
142,Male,20,2,5,86,2,45,Yes,High,51.8,Average
143,Female,18,7,6,82,0,77,No,Medium,97.4,Excellent
144,Female,21,6,4,67,8,41,No,Medium,73.5,Good
145,Female,19,3,6,67,5,61,No,High,55.5,Average
146,Male,17,6,4,85,7,59,Yes,Medium,72.1,Good
147,Male,18,6,7,72,2,64,Yes,Medium,79.2,Good
148,Male,20,5,7,98,7,54,Yes,Medium,82.0,Excellent
149,Male,19,4,8,96,1,88,No,Medium,75.0,Good
150,Female,19,1,6,87,3,68,Yes,Medium,61.3,Average
151,Male,17,6,4,84,2,47,No,Medium,66.0,Good
152,Male,20,2,7,75,9,76,No,Medium,56.9,Average
153,Male,21,3,5,61,0,88,Yes,Medium,71.5,Good
154,Male,19,8,7,77,6,91,No,Medium,91.5,Excellent
155,Male,17,6,5,76,9,72,Yes,Low,77.6,Good
156,Female,21,3,4,89,1,61,No,Low,73.1,Good
157,Male,20,7,7,98,3,89,No,Medium,102.0,Excellent
158,Female,19,4,7,72,8,86,Yes,Low,75.0,Good
159,Male,21,9,4,91,5,44,No,High,91.9,Excellent
160,Female,21,5,7,88,7,78,No,Low,87.6,Excellent
161,Male,21,3,5,89,1,57,No,Medium,62.5,Average
162,Male,19,2,7,77,6,77,No,Medium,54.9,Average
163,Female,19,2,6,72,5,93,No,Low,62.8,Average
164,Female,18,3,8,80,8,92,No,Medium,81.8,Excellent
165,Female,20,2,5,89,6,76,No,High,60.1,Average
166,Male,17,4,6,80,0,69,No,High,77.6,Good
167,Female,21,2,4,76,7,90,Yes,Medium,66.8,Good
168,Male,18,9,5,99,9,70,Yes,High,111.7,Excellent
169,Male,17,2,8,78,2,49,No,High,44.0,Fail
170,Female,18,9,8,74,1,54,No,Low,95.8,Excellent
171,Female,19,6,4,68,2,81,Yes,High,82.8,Excellent
172,Male,21,1,4,69,5,87,No,Low,62.5,Average
173,Male,17,4,5,90,2,83,Yes,Medium,77.2,Good
174,Female,17,1,7,82,9,57,Yes,Low,42.4,Fail
175,Female,17,6,4,89,4,62,Yes,Medium,87.5,Excellent
176,Female,17,4,7,92,5,72,No,Medium,77.4,Good
177,Male,17,3,6,68,7,55,No,Medium,50.4,Average
178,Male,18,3,8,60,6,93,No,Medium,72.2,Good
